"bodyid","type","cbf","m.type","c.type","cbf.change","class","cell.type","ItoLee_Hemilineage","Hartenstein_Hemilineage","FAFB.match","FAFB.match.quality","LM.match","LM.match.quality","published","type.change","pnt","connectivity.type"
"579912201","CRE028a","AVL01","AVL01ai","AVL01h_pct",FALSE,"CENT","LHCENT5","primary","primary","11519897","good","none","none",TRUE,FALSE,"LHPD2","LHCENT5"
"487144598","LH006a","ADL01","ADL01v","ADL01on_pct",FALSE,"CENT","LHCENT3","primary","primary","11543484","good","none","none",TRUE,FALSE,"LHPD2","LHCENT3"
"517506265","LH044a","ADL16","ADL16k","ADL16r_pct",FALSE,"CENT","LHCENT4","primary","primary","563760","good","none","none",TRUE,FALSE,"LHPD2","LHCENT4"
"360284300","LH054a","ADL24","ADL24m","ADL24h_pct",FALSE,"CENT","LHCENT8","primary","primary","554327","good","none","none",TRUE,FALSE,"LHPD2","LHCENT8"
"511271574","LH054a","ADL24","ADL24m","ADL24h_pct",FALSE,"CENT","LHCENT8","primary","primary","181551","good","none","none",TRUE,FALSE,"LHPD2","LHCENT8"
"5813020988","LH096a","PDL26","PDL26c","PDL26c_pct",FALSE,"CENT","LHMB1","primary","primary","1299740","good","none","none",TRUE,FALSE,"LHPD2","LHMB1"
"608922563","SIP035a","PDL18","PDL18i","PDL18p_pct",FALSE,"CENT","AL-MBDL1","primary","primary","none","none","none","none",TRUE,FALSE,"","AL-MBDL1"
"328861282","SLP004b","ADL01","ADL01w","ADL01oe_pct",FALSE,"CENT","LHCENT1","primary","primary","3394015","good","none","none",TRUE,FALSE,"LHPD2","LHCENT1"
"5813068669","SLP036a","ADL05","ADL05j","ADL05b_pct",FALSE,"CENT","LHCENT6","primary","primary","1288606","good","none","none",TRUE,FALSE,"LHPD2","LHCENT6"
"330268940","SLP036b","ADL05","ADL05j","ADL05lb_pct",FALSE,"CENT","LHCENT9","primary","primary","11519759","good","none","none",TRUE,FALSE,"LHPD2","LHCENT9"
"327499164","SLP036c","ADL05","ADL05j","ADL05od_pct",FALSE,"CENT","LHCENT2","primary","primary","13565080","good","none","none",TRUE,FALSE,"LHPD2","LHCENT2"
"329225149","SLP140a","AVL18","AVL18c","AVL18i_pct",FALSE,"CENT","LHCENT10","primary","primary","none","none","none","none",TRUE,FALSE,"LHPD2","LHCENT10"
"329897255","SLP140a","AVL18","AVL18c","AVL18i_pct",FALSE,"CENT","LHCENT10","primary","primary","none","none","Gad1-F-500030","good",TRUE,FALSE,"LHPD2","LHCENT10"
"328533761","SLP305a","PVL17","PVL17i","PVL17i_pct",FALSE,"CENT","LHCENT7","primary","primary","1866895","good","TH-M-000013","good",TRUE,FALSE,"LHPV1","LHCENT7"
"639585968","VES001a","ADM02","ADM02e","ADM02c_pct",FALSE,"CENT","LHCENT11","primary","primary","none","none","none","none",TRUE,FALSE,"LHAD5","LHCENT11"
